name, nitg, filter, code, refpnt, top, bottom, logger, refpnt, depth, baro, file, begin, end, days, points
30FP0472,B30F0472,1,B30F0472/001,0.506,29.33,31.33,M0486,0.506,5.04,"Meteostation Valkenburg  - P","b30f0472-001_170120100547_M0486.MON",20-10-2016 11:00,20-01-2017 09:00,91,2207
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,47616,-0.611,2.348,"Meteostation Valkenburg  - P","b30f3810-001.MON",06-12-2011 11:00,17-04-2013 18:00,498,11960
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,47616,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001.MON",18-04-2013 18:00,05-09-2013 10:00,139,3353
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,N2810,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_140202224053_N2810.MON",05-09-2013 11:00,29-01-2014 07:00,145,3501
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,P5992,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_140202224053_P5992.MON",05-09-2013 11:00,29-01-2014 07:00,145,3501
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,P5992,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001.MON",29-01-2014 08:00,31-05-2014 07:00,121,2928
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,N2810,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_1.MON",31-05-2014 08:00,07-10-2014 13:00,129,3102
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,P5992,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001.MON",31-05-2014 08:00,07-10-2014 13:00,129,3102
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,N2810,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_150319110926_N2810.MON",07-10-2014 14:00,19-03-2015 10:00,162,3909
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,P5992,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_150319110714_P5992.MON",07-10-2014 14:00,19-03-2015 10:00,162,3909
